Galaxy,Q,Inc_deg,N,in_primary,Mbar_Msun,vh_kms,vh_lo,vh_hi,chi2red_ssv,chi2red_nfw,nfw_v200,nfw_c,chi2red_mond,chi2red_cored_posthoc,cored_vh,cored_rc_kpc,chi2red_flynn
NGC0891,1,90.0,18,1,7.5104e+10,122.25,121.00,123.50,41.651,18.253,600.0,1.37,34.245,14.142,206.4,14.47,283.366
NGC1003,1,67.0,36,1,1.1230e+10,91.00,90.50,91.25,26.101,2.568,105.4,4.87,13.077,4.761,105.8,7.85,192.515
NGC1090,1,64.0,24,1,4.7704e+10,123.50,122.75,124.00,27.812,2.418,117.6,8.04,44.228,1.370,134.0,5.62,355.657
NGC1705,3,80.0,14,0,4.5137e+08,65.75,64.75,67.00,0.848,0.113,38.9,37.89,14.545,0.143,67.3,0.31,42.239
NGC2366,3,68.0,26,0,9.7851e+08,30.50,30.00,30.75,33.140,3.450,139.7,1.99,25.357,0.819,50.6,2.50,88.857
NGC2403,1,63.0,73,1,9.2752e+09,100.25,100.25,100.25,344.688,10.013,95.6,11.84,75.640,19.578,116.0,3.14,6748.739
NGC2683,2,80.0,11,0,4.2077e+10,135.25,132.25,138.25,1.523,0.849,98.2,19.83,2.138,1.058,140.6,2.58,60.383
NGC2841,1,76.0,50,1,1.0706e+11,248.75,248.00,249.50,3.767,3.340,177.1,21.16,86.273,1.489,252.8,3.01,188.893
NGC2903,1,66.0,34,1,4.4326e+10,135.75,135.25,136.25,55.788,14.262,137.9,9.88,12.604,10.059,164.1,6.34,3390.282
NGC2915,2,56.0,30,0,9.9614e+08,75.00,73.75,76.25,3.525,0.957,61.1,15.43,7.607,0.561,82.6,1.84,14.894
NGC2955,1,56.0,24,1,1.9821e+11,94.75,91.50,98.00,8.183,4.530,238.1,3.57,7.958,4.552,196.2,13.59,434.054
NGC2976,2,61.0,27,0,1.9143e+09,25.50,24.75,26.50,9.497,1.893,600.0,1.05,3.039,0.294,100.6,2.77,13.533
NGC2998,1,58.0,13,1,1.0664e+11,167.75,166.75,168.75,6.081,2.456,139.2,11.08,15.464,3.178,169.1,1.60,510.606
