bounds,scenario,galaxy,points,model,family,parameter_count,chi2,chi2_reduced,aicc,delta_aicc,bic,delta_bic,condition_number,practical_rank,rank,maximum_absolute_correlation,boundary_parameters,parameters_dimensionless,delta_aicc_vs_pISO,delta_bic_vs_pISO,delta_aicc_vs_cored_log,delta_bic_vs_cored_log
primary,light,NGC5055,28,k12_Q,logsvt,4,76.31095236643665,3.1796230152681937,86.05008280121926,32.056252140820874,89.63977040713746,32.05625214082087,93.87263388080133,4,4,0.9939419699780897,,"{""B"": 0.24382537947691885, ""Q"": 0.24705723611557637, ""u1"": 15.1870383315105, ""u2"": 85.18174970936923}",-155.17424019163622,-153.76896160606844,-96.53246797077499,-95.1271893852072
primary,light,NGC5055,28,k12_L,logsvt,4,68.08990235859898,2.837079264941624,77.82903279338159,23.8352021329832,81.41872039929979,23.83520213298319,211.54616296912576,4,4,0.9988819191824124,,"{""B"": 0.3085147677266395, ""L"": -0.42129955970429916, ""u1"": 13.35238607368009, ""u2"": 48.768696685999124}",-163.3952901994739,-161.99001161390612,-104.75351797861266,-103.34823939304488
primary,light,NGC5055,28,k12_L_Q,logsvt,5,68.08991373089829,2.9604310317781866,80.81718645817102,26.823355797772635,84.7509362817743,27.167418015457706,382523004.16084933,4,5,0.999454686468399,,"{""B"": 0.3085142842135212, ""L"": -0.421297862053593, ""Q"": 4.4558742484255657e-07, ""u1"": 13.352392549160426, ""u2"": 48.768928992383586}",-160.40713653468447,-158.6577957314316,-101.76536431382323,-100.01602351057036
primary,light,NGC5055,28,C,logsvt,1,3147.1881561655996,116.56252430242961,3149.342002319446,3095.3481716590472,3150.520360675775,3092.936842409458,1.0,1,1,0.0,,"{""C"": 0.6127761191483873}",2908.1176793265904,2907.1116286625693,2966.7594515474516,2965.7534008834305
primary,light,NGC5055,28,C_Q,logsvt,2,3147.188299599328,121.04570383074338,3151.668299599328,3097.6744689389293,3153.852708619678,3096.2691903533614,139877416.11694652,1,2,1.0,logQ,"{""C"": 0.6127761229060827, ""Q"": 1.5229979744712682e-08}",2910.4439766064725,2910.4439766064725,2969.0857488273336,2969.0857488273336
primary,light,NGC5055,28,C_L,logsvt,2,1351.546666306678,51.982564088718384,1356.026666306678,1302.0328356462796,1358.2110753270283,1300.6275570607118,2.808419537424318,2,2,0.7703117713806292,,"{""C"": 0.5009121755801099, ""L"": 0.31377814445507773}",1114.8023433138223,1114.8023433138223,1173.4441155346838,1173.4441155346835
primary,light,NGC5055,28,C_L_Q,logsvt,3,247.7426169755629,9.909704679022516,254.7426169755629,200.74878631516452,257.7392305060885,200.15571223977193,19.734524104682894,3,3,0.9867193863334534,,"{""C"": 0.3123641154784379, ""L"": 1.788711434981681, ""Q"": 1.6042952170761513}",13.518293982707405,14.330498492882612,72.16006620356865,72.97227071374385
primary,light,NGC5055,28,C_k1,logsvt,3,299.60717019059257,11.984286807623702,306.60717019059257,252.6133395301942,309.6037837211182,252.0202654548016,752712284.705847,2,3,0.998011016120184,logC,"{""B"": 0.4044583342086537, ""C"": 1.5229979744729835e-08, ""u1"": 14.849168520186943}",65.38284719773708,66.19505170791228,124.02461941859832,124.83682392877353
primary,light,NGC5055,28,C_k1_Q,logsvt,4,77.60856941022104,3.233690392092543,87.34769984500365,33.35386918460526,90.93738745092185,33.35386918460525,636.564820102237,4,4,0.9680557792420401,,"{""B"": 0.5124367304588482, ""C"": 0.026416231503733144, ""Q"": 0.2985371765212029, ""u1"": 7.578470266284572}",-153.87662314785183,-152.47134456228406,-95.2348509269906,-93.82957234142282
primary,light,NGC5055,28,C_k1_L,logsvt,4,65.62073903595196,2.7341974598313317,75.35986947073457,21.36603881033618,78.94955707665277,21.36603881033617,301.89666391962277,4,4,0.9843042622723537,,"{""B"": 0.6629097703330048, ""C"": 0.06366810114419302, ""L"": -0.5219320512831096, ""u1"": 5.182599200830478}",-165.86445352212093,-164.45917493655315,-107.22268130125968,-105.8174027156919
primary,light,NGC5055,28,C_k1_L_Q,logsvt,5,65.62073952186377,2.8530756313853813,78.3480122491365,24.354181588738115,82.28176207273978,24.698243806423186,2434423945.774089,4,5,0.9966486002501936,logQ,"{""B"": 0.6629097496457178, ""C"": 0.0636680813130255, ""L"": -0.5219319961406614, ""Q"": 1.5229979745124985e-08, ""u1"": 5.182599680717238}",-162.876310743719,-161.12696994046613,-104.23453852285775,-102.48519771960488
primary,light,NGC5055,28,C_k2,logsvt,3,122.11181245873998,4.884472498349599,129.11181245873996,75.11798179834157,132.10842598926558,74.524907722949,35.06860936638979,3,3,0.9875785247875829,,"{""B"": 0.13575801589910821, ""C"": 0.19944857985476555, ""u2"": 96.11143921683752}",-112.11251053411553,-111.30030602394032,-53.47073831325429,-52.65853380307908
primary,light,NGC5055,28,C_k2_Q,logsvt,4,49.61192275515211,2.0671634481313377,59.35105318993472,5.35722252953633,62.940740795852925,5.35722252953633,42.056664979623505,4,4,0.9279001586038415,,"{""B"": 0.13862778178997678, ""C"": 0.2739278743431005, ""Q"": 0.15146450661565983, ""u2"": 51.00665548385233}",-181.8732698029208,-180.467991217353,-123.23149758205953,-121.82621899649175
primary,light,NGC5055,28,C_k2_L,logsvt,4,44.25470022561578,1.8439458427339908,53.99383066039839,0.0,57.583518266316595,0.0,44.18619003973454,4,4,0.9356703758975615,,"{""B"": 0.15265669397862025, ""C"": 0.2900855116744621, ""L"": -0.2072743751193275, ""u2"": 45.06190860053926}",-187.23049233245712,-185.82521374688932,-128.58872011159588,-127.18344152602808
primary,light,NGC5055,28,C_k2_L_Q,logsvt,5,44.25470067469487,1.9241174206389073,56.98197340196759,2.988142741569206,60.915723225570886,3.332204959254291,1968514795.070062,4,5,0.9703199993037201,logQ,"{""B"": 0.1526566916005457, ""C"": 0.29008549576483533, ""L"": -0.2072743330697817, ""Q"": 1.523023663699103e-08, ""u2"": 45.06191351673751}",-184.2423495908879,-182.493008787635,-125.60057737002666,-123.85123656677378
primary,light,NGC5055,28,C_k12,logsvt,4,122.11181259721384,5.087992191550577,131.85094303199642,77.85711237159803,135.44063063791467,77.85711237159808,8076300194.015796,3,4,0.9875785244714314,logu1,"{""B"": 0.13575802129360873, ""C"": 0.1994485530621234, ""u1"": 1.5229985288983925e-08, ""u2"": 96.11145239483986}",-109.37337996085907,-107.96810137529124,-50.73160773999783,-49.32632915443
primary,light,NGC5055,28,C_k12_Q,logsvt,5,49.61192278657007,2.1570401211552204,62.339195513842796,8.345364853444408,66.27294533744609,8.689427071129494,1190178933.4318366,4,5,0.9860771071238138,,"{""B"": 0.1386277825903781, ""C"": 0.27392785780202866, ""Q"": 0.1514644865991084, ""u1"": 1.6652306713258434e-08, ""u2"": 51.006661628464755}",-178.88512747901268,-177.13578667575982,-120.24335525815145,-118.49401445489858
primary,light,NGC5055,28,C_k12_L,logsvt,5,44.25470024334784,1.9241174018846887,56.98197297062057,2.9881423102221802,60.91572279422386,3.3322045279072654,2014383491.8206475,4,5,0.9992287335674545,logu1,"{""B"": 0.1526566928981475, ""C"": 0.29008550971727404, ""L"": -0.20727436657305617, ""u1"": 1.5229979744712682e-08, ""u2"": 45.061909465620886}",-184.24235002223492,-182.49300921898205,-125.60057780137367,-123.85123699812081
primary,light,NGC5055,28,C_k12_L_Q,logsvt,6,44.25470069798131,2.011577304453696,60.25470069798131,6.260870037582926,64.24792775903254,6.66440949271594,1756217194.7384777,4,6,0.9985458881885279,,"{""B"": 0.15265669275951904, ""C"": 0.2900855173800882, ""L"": -0.20727436237772584, ""Q"": 1.5390042467605668e-08, ""u1"": 1.5953818258833638e-08, ""u2"": 45.061906812399734}",-180.96962229487417,-179.16080425417337,-122.32785007401293,-120.51903203331213
primary,light,NGC5055,28,cored_log,cored_log,2,178.10255077199426,6.850098106615164,182.58255077199425,128.58872011159588,184.76695979234466,127.18344152602808,3.9613681595336163,2,2,0.6692827955248958,,"{""H"": 0.7336204913942215, ""Rc"": 0.07625287134589812}",-58.64177222086124,-58.64177222086124,0.0,0.0
primary,light,NGC5055,28,pISO,piso,2,236.7443229928555,9.105550884340596,241.2243229928555,187.23049233245712,243.4087320132059,185.82521374688932,6.097083527332655,2,2,0.7881947566583027,,"{""H"": 0.7898661096595321, ""Rc"": 0.03128368095237578}",0.0,0.0,58.64177222086124,58.64177222086124
